country,geoname_id
Мьянма,-146
Монголия, -147
Макао, -1821275
Северные Марианские острова, -149
Мартиника, -150
Мавритания, -2378080
Монтсеррат, -3578097
Мальта,-153
Маврикий, -934292
Мальдивы, -155
Малави, -156
Мексика, -157
Малайзия, -158
Мозамбик,-159
Намибия, -3355338
Новая Каледония, -161
Нигер, -162
Остров Норфолк, -163
Нигерия,-164
Никарагуа,-165
Нидерланды, -166
Norway,-167
Nepal,-168
Nauru,-2110425
Niue,-4036232
New Zealand,-171
Oman,-172
Panama,-3703430
Peru,-174
French Polynesia,-175
Papua New Guinea,-176
Philippines,-177
Pakistan,-178
Poland,-179
Saint Pierre and Miquelon,-180
Pitcairn,-4030699
Puerto Rico,-182
Palestinian Territory,-6254930
Portugal,-184
Palau,-1559582
Paraguay,-186
Qatar,-289688
Reunion,-188
Romania,-189
Serbia,-190
Russia,-191
Rwanda,-49518
Saudi Arabia,-193
Solomon Islands,-2103350
Seychelles,-241170
Sudan,-196
South Sudan,-7909807
Sweden,-198
Singapore,-199
Saint Helena,-3370751
Slovenia,-201
Svalbard and Jan Mayen,-202
Slovakia,-203
Sierra Leone,-2403846
Норвегия,-167
Непал,-168
Науру, -2110425
Ниуэ, -4036232
Новая Зеландия, -171
Оман,-172
Панама,-3703430
Перу,-174
Французская Полинезия, -175
Папуа - Новая Гвинея, -176
Филиппины, -177
Пакистан,-178
Польша,-179
Сен-Пьер и Микелон, -180
Питкэрн, -4030699
Пуэрто-Рико, -182
Палестинская территория, -6254930
Португалия,-184
Палау, -1559582
Парагвай,-186
Катар, -289688
Реюньон,-188
Румыния,-189
Сербия, -190
Россия,-191
Российская Федерация,-191
РФ,-191
Руанда, -49518
Саудовская Аравия, -193
Соломоновы острова, -2103350
Сейшельские острова, -241170
Судан, -196
Южный Судан, -7909807
Швеция,-198
Сингапур,-199
Остров Святой Елены,-3370751
Словения,-201
Шпицберген и Ян-Майен, -202
Словакия,-203
Сьерра-Леоне,-2403846
San Marino,-205
Senegal,-206
Somalia,-207
Suriname,-3382998
Sao Tome and Principe,-2410758
El Salvador,-210
Sint Maarten,-7609695
Syria,-163843
Eswatini,-213
Turks and Caicos Islands,-3576916
Chad,-2434508
French Southern Territories,-1546748
Togo,-2363686
Thailand,-218
Tajikistan,-219
Tokelau,-4031074
Timor Leste,-1966436
Turkmenistan,-222
Tunisia,-223
Tonga,-4032283
Turkey,-225
Trinidad and Tobago,-3573591
Tuvalu,-2110297
Taiwan,-228
Tanzania,-149590
Ukraine,-230
Uganda,-226074
United States Minor Outlying Islands,-5854968
United States,-233
Uruguay,-234
Uzbekistan,-235
Vatican,-236
Saint Vincent and the Grenadines,-3577815
Venezuela,-238
British Virgin Islands,-3577718
U.S. Virgin Islands,-240
Сан-Марино, -205
Сенегал, -206
Сомали, -207
Суринам, -3382998
Сан-Томе и Принсипи, -2410758
Сальвадор, -210
Синт-Мартен,-7609695
Сирия, -163843
Эсватини, -213
Острова Теркс и Кайкос, -3576916
Чад, -2434508
Южные территории Франции, -1546748
Того, -2363686
Таиланд,-218
Таджикистан,-219
Токелау, -4031074
Тимор-Лешти,-1966436
Туркменистан,-222
Тунис, -223
Тонга, -4032283
Турция, -225
Тринидад и Тобаго, -3573591
Тувалу, -2110297
Тайвань, -228
Танзания, -149590
Украина, -230
Уганда, -226074
Малые отдаленные острова Соединенных Штатов, -5854968
Соединенные Штаты, -233
США, -233
Америка, -233
Уругвай, -234
Узбекистан, -235
Ватикан, -236
Сент-Винсент и Гренадины, -3577815
Венесуэла, -238
Британские Виргинские острова, -3577718
Виргинские острова США, -240
Vietnam,-241
Vanuatu,-2134431
Wallis and Futuna,-243
Samoa,-4034894
Yemen,-69543
Mayotte,-246
South Africa,-247
Zambia,-248
Zimbabwe,-878675
Serbia and Montenegro,-250
Netherlands Antilles,-8505032
Вьетнам, -241
Вануату, -2134431
Уоллис и Футуна, -243
Самоа, -4034894
Йемен, -69543
Майотта, -246
Южная Африка, -247
Замбия,-248
Зимбабве, -878675
Сербия и Черногория, -250
Нидерландские Антильские острова,-8505032
